source_click_dt,clientType,source,total_user_series,ep2_same_day_users,ep10_same_day_users,ep20_same_day_users,ep30_same_day_users,ep50_same_day_users,ep2_3day_users,ep10_3day_users,ep20_3day_users,ep30_3day_users,ep50_3day_users
2026-01-24,Android,series_widget_grid_2,182741,100741,60185,49826,43941,26345,103185,64361,54808,49902,31911
2026-01-24,Android,continue_watching,153988,77578,70330,66969,64479,48734,79118,72733,70465,69398,54981
2026-01-24,Android,search_landing_page,19647,6352,4738,4658,4441,3488,6544,4983,4967,4824,3969
2026-01-24,Android,hero_widget,63438,44631,33284,31397,29578,19275,45629,35082,33825,32629,22032
2026-01-24,Android,search_results,91723,45859,25180,19614,17420,10928,46723,26399,20965,19096,12684
2026-01-24,Android,series_widget_grid_3,102902,36626,24388,22055,19903,12582,37635,25936,24155,22597,15290
2026-01-24,Android,interstitials,61270,27362,18185,16273,15122,8126,28744,19975,18349,17565,10129
2026-01-24,Android,series_landscape_carousel,2018,1406,1065,980,920,659,1443,1131,1069,1030,778
2026-01-24,Android,from_mlt,68271,37568,24192,20912,18632,12155,38776,26186,23556,21763,15330
2026-01-24,ios,search_results,7749,3736,2425,2288,2071,1528,3791,2519,2421,2273,1779
2026-01-24,Android,for_you_feed,11639,7201,5639,5128,4665,2949,7479,6074,5676,5314,3549
2026-01-24,Android,from_notifications,13935,4397,2207,1759,1434,783,4578,2440,2049,1788,1006
2026-01-24,ios,genre_page,511,288,168,159,136,85,294,186,185,160,112
2026-01-24,Android,genre_page,6626,3958,2302,1967,1693,1118,4074,2480,2186,1924,1333
2026-01-24,ios,series_widget_grid_2,7044,2986,1883,1646,1475,862,3079,2013,1828,1691,1058
2026-01-24,ios,interstitials,1933,936,670,635,588,467,980,735,720,695,583
2026-01-24,ios,series_widget_grid_3,4643,1632,1158,1115,1018,705,1698,1240,1249,1176,907
2026-01-24,ios,search_landing_page,1503,586,430,489,455,391,604,452,520,505,462
2026-01-24,ios,from_mlt,1267,742,462,439,376,272,758,493,476,427,336
2026-01-24,Android,ranking_page,3373,2027,1408,1279,1087,809,2099,1500,1399,1220,965
2026-01-24,ios,ranking_page,326,184,125,136,112,82,193,142,158,139,115
2026-01-24,Android,from_manage_subscription,84,34,22,21,18,9,34,22,21,18,11
2026-01-24,ios,from_undo_cancellation_screen,8,4,2,2,3,2,4,2,2,3,2
2026-01-24,both,series_widget_grid_3,107537,38258,25546,23170,20921,13287,39333,27176,25404,23773,16197
2026-01-24,both,from_mlt,69538,38310,24654,21351,19008,12427,39534,26679,24032,22190,15666
2026-01-24,both,continue_watching,153988,77578,70330,66969,64479,48734,79118,72733,70465,69398,54981
2026-01-24,both,series_widget_grid_2,189781,103727,62068,51472,45416,27207,106264,66374,56636,51593,32969
2026-01-24,both,search_results,99455,49595,27605,21902,19491,12456,50514,28918,23386,21369,14463
2026-01-24,both,interstitials,63203,28298,18855,16908,15710,8593,29724,20710,19069,18260,10712
2026-01-24,both,search_landing_page,21147,6938,5168,5147,4896,3879,7148,5435,5487,5329,4431
2026-01-24,both,hero_widget,63438,44631,33284,31397,29578,19275,45629,35082,33825,32629,22032
2026-01-24,both,from_notifications,13935,4397,2207,1759,1434,783,4578,2440,2049,1788,1006
2026-01-24,both,ranking_page,3699,2211,1533,1415,1199,891,2292,1642,1557,1359,1080
2026-01-24,both,genre_page,7137,4246,2470,2126,1829,1203,4368,2666,2371,2084,1445
2026-01-24,both,for_you_feed,11639,7201,5639,5128,4665,2949,7479,6074,5676,5314,3549
2026-01-24,both,series_landscape_carousel,2018,1406,1065,980,920,659,1443,1131,1069,1030,778
2026-01-24,both,from_manage_subscription,84,34,22,21,18,9,34,22,21,18,11
2026-01-24,both,from_undo_cancellation_screen,8,4,2,2,3,2,4,2,2,3,2
2026-01-25,Android,series_widget_grid_2,191524,105212,63097,51917,45791,27755,107863,67403,57222,52143,33662
2026-01-25,Android,from_notifications,14534,4693,2326,1885,1590,768,4865,2550,2155,1897,993
2026-01-25,ios,series_widget_grid_2,7606,3331,2029,1758,1584,970,3424,2172,1969,1840,1206
2026-01-25,Android,series_widget_grid_3,107790,37326,24714,22391,20176,12851,38372,26329,24546,22898,15743
2026-01-25,Android,search_results,97066,48248,26463,20310,17907,11502,49195,27808,21796,19744,13385
2026-01-25,Android,continue_watching,155540,77972,70389,66554,63517,46813,79627,72889,70266,68615,53150
2026-01-25,Android,hero_widget,62464,42955,31163,29300,27544,17071,43871,32735,31402,30210,19810
2026-01-25,Android,from_mlt,71167,39862,25503,22144,19564,11260,41190,27695,25020,22988,14167
2026-01-25,Android,genre_page,6883,4268,2466,2118,1781,1151,4382,2654,2342,2019,1378
2026-01-25,ios,interstitials,1902,1001,629,586,544,194,1034,686,669,643,238
2026-01-25,Android,interstitials,61380,26383,16583,14422,13298,5391,27674,18171,16353,15538,6783
2026-01-25,Android,ranking_page,3498,2145,1521,1431,1183,805,2215,1611,1553,1326,968
2026-01-25,Android,search_landing_page,20102,6348,4637,4522,4285,3143,6494,4841,4800,4638,3525
2026-01-25,ios,search_results,7951,3874,2573,2454,2289,1706,3941,2667,2589,2481,1955
2026-01-25,Android,for_you_feed,12461,7750,6003,5471,4933,3036,8067,6480,6050,5625,3657
2026-01-25,ios,series_widget_grid_3,4476,1620,1140,1120,1036,720,1682,1225,1258,1210,913
2026-01-25,ios,from_mlt,1458,921,574,519,448,281,938,603,567,510,341
2026-01-25,ios,search_landing_page,1417,561,394,422,408,326,587,417,451,443,370
2026-01-25,Android,series_landscape_carousel,2265,1587,1202,1120,1038,716,1625,1290,1235,1175,861
2026-01-25,ios,genre_page,562,322,200,175,156,99,327,213,197,180,122
2026-01-25,ios,ranking_page,280,183,132,135,126,93,189,141,152,145,119
2026-01-25,Android,from_manage_subscription,114,48,31,23,22,15,49,33,26,25,18
2026-01-25,ios,from_undo_cancellation_screen,12,5,0,1,0,0,5,1,2,1,0
2026-01-25,both,series_widget_grid_2,199127,108543,65126,53675,47375,28725,111287,69575,59191,53983,34868
2026-01-25,both,continue_watching,155540,77972,70389,66554,63517,46813,79627,72889,70266,68615,53150
2026-01-25,both,search_results,104999,52122,29036,22764,20196,13208,53136,30475,24385,22225,15340
2026-01-25,both,from_mlt,72625,40783,26077,22663,20012,11541,42128,28298,25587,23498,14508
2026-01-25,both,interstitials,63282,27384,17212,15008,13842,5585,28708,18857,17022,16181,7021
2026-01-25,both,series_widget_grid_3,112266,38946,25854,23511,21212,13571,40054,27554,25804,24108,16656
2026-01-25,both,search_landing_page,21519,6909,5031,4944,4693,3469,7081,5258,5251,5081,3895
2026-01-25,both,genre_page,7445,4590,2666,2293,1937,1250,4709,2867,2539,2199,1500
2026-01-25,both,hero_widget,62464,42955,31163,29300,27544,17071,43871,32735,31402,30210,19810
2026-01-25,both,from_notifications,14534,4693,2326,1885,1590,768,4865,2550,2155,1897,993
2026-01-25,both,for_you_feed,12461,7750,6003,5471,4933,3036,8067,6480,6050,5625,3657
2026-01-25,both,series_landscape_carousel,2265,1587,1202,1120,1038,716,1625,1290,1235,1175,861
2026-01-25,both,ranking_page,3778,2328,1653,1566,1309,898,2404,1752,1705,1471,1087
2026-01-25,both,from_manage_subscription,114,48,31,23,22,15,49,33,26,25,18
